Generation,ID,Fitness,Lives lost,Money earned,Money spent,Waves Survived
0,0,4.359999999999999,0,1160,350,10
0,1,4.359999999999999,0,1160,350,10
0,2,4.34,0,1160,350,10
0,3,4.34,0,1160,350,10
0,4,4.359999999999999,0,1160,350,10
0,5,4.34,0,1160,350,10
0,6,4.96,0,1160,350,10
0,7,4.359999999999999,0,1160,350,10
0,8,4.42,0,1160,350,10
0,9,4.46,0,1160,430,10
0,10,4.34,0,1160,350,10
0,11,4.359999999999999,0,1160,500,10
1,0,4.4,0,1160,350,10
1,1,4.359999999999999,0,1160,350,10
1,2,4.359999999999999,0,1160,350,10
1,3,4.4,0,1160,350,10
1,4,4.34,0,1160,350,10
1,5,4.3420000000000005,0,1160,350,10
1,6,4.32,0,1160,350,10
1,7,4.359999999999999,0,1160,350,10
1,8,4.359999999999999,0,1160,350,10
1,9,4.359999999999999,0,1160,430,10
1,10,4.34,0,1160,350,10
1,11,4.33,0,1160,500,10
2,0,4.4,0,1160,350,10
2,1,4.32,0,1160,350,10
2,2,4.34,0,1160,350,10
2,3,4.359999999999999,0,1160,350,10
2,4,4.4,0,1160,350,10
2,5,4.32,0,1160,350,10
2,6,4.41,0,1160,350,10
2,7,4.32,0,1160,350,10
2,8,4.3919999999999995,0,1160,350,10
2,9,4.33,0,1160,430,10
2,10,4.359999999999999,0,1160,350,10
2,11,4.4,0,1160,500,10
